 Total Nb of available Diagnostics: ndiagt=   300
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND| 15 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 15 |       |SMR     MR|g/kg/day        |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 15 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 15 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 15 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   103 |AB_gT   | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 15 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 15 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 15 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 15 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 15 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH | 15 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH | 15 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH | 15 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH | 15 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH | 15 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT| 15 |   118 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT| 15 |   117 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   119 |DFrE_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT| 15 |   121 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT| 15 |   120 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT| 15 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL| 15 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   124 |VISCAHZ | 15 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z | 15 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD | 15 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D | 15 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW | 15 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W | 15 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX | 15 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX | 15 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX | 15 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX | 15 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN | 15 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN | 15 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN | 15 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN | 15 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH | 15 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH | 15 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH | 15 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH | 15 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD| 15 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD| 15 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD| 15 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD| 15 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG| 15 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG| 15 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG| 15 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG| 15 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   | 15 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv | 15 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3| 15 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  | 15 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension | 15 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |Stretch | 15 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   156 |USidDrag| 15 |   157 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   157 |VSidDrag| 15 |   156 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   158 |Um_Diss | 15 |   159 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   159 |Vm_Diss | 15 |   158 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   160 |Um_ImplD| 15 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   161 |Vm_ImplD| 15 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   162 |Um_Advec| 15 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec| 15 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori | 15 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori | 15 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPhiX| 15 |   167 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   167 |Vm_dPhiY| 15 |   166 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   168 |Um_Ext  | 15 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  | 15 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_AdvZ3| 15 |   171 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   171 |Vm_AdvZ3| 15 |   170 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   172 |Um_AdvRe| 15 |   173 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   173 |Vm_AdvRe| 15 |   172 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   174 |botTauX |  1 |   175 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   175 |botTauY |  1 |   174 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   176 |ADVx_Um | 15 |   177 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   177 |ADVy_Um | 15 |   176 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   178 |ADVrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   179 |ADVx_Vm | 15 |   180 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   180 |ADVy_Vm | 15 |   179 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   181 |ADVrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   182 |VISCx_Um| 15 |   183 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   183 |VISCy_Um| 15 |   182 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   184 |VISrE_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   185 |VISrI_Um| 15 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   186 |VISCx_Vm| 15 |   187 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   187 |VISCy_Vm| 15 |   186 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   188 |VISrE_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   189 |VISrI_Vm| 15 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   190 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   191 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   192 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   193 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   194 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   195 |SubMpsiX|  1 |   196 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   196 |SubMpsiY|  1 |   195 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   197 |GM_Kux  | 15 |   198 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   198 |GM_Kvy  | 15 |   197 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   199 |GM_Kuz  | 15 |   200 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GM_Kvz  | 15 |   199 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   201 |GM_Kwx  | 15 |   202 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   202 |GM_Kwy  | 15 |   201 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   203 |GM_Kwz  | 15 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   204 |GM_PsiX | 15 |   205 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   205 |GM_PsiY | 15 |   204 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   206 |GM_KuzTz| 15 |   207 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   207 |GM_KvzTz| 15 |   206 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   208 |GM_KwzTz| 15 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   209 |GM_ubT  | 15 |   210 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   210 |GM_vbT  | 15 |   209 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   211 |GM_BVPcW|  1 |   212 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   212 |GM_BVPcS|  1 |   211 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   213 |TRAC01  | 15 |       |SMR     MR|mol/m^3         |Dissolved Inorganic Carbon (DIC) [mol C/m^3] concentration
   214 |UTRAC01 | 15 |   215 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of DIC
   215 |VTRAC01 | 15 |   214 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of DIC
   216 |WTRAC01 | 15 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of DIC
   217 |ForcTr01| 15 |       |SMR     MR|mol/m^3/s       |DIC forcing tendency
   218 |AB_gTr01| 15 |       |SMR     MR|mol/m^3/s       |DIC tendency from Adams-Bashforth
   219 |Tp_gTr01| 15 |       |SMR     MR|mol/m^3/s       |DIC total transport tendency (before gchem_forcing_sep)
   220 |ADVrTr01| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of DIC
   221 |ADVxTr01| 15 |   222 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of DIC
   222 |ADVyTr01| 15 |   221 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of DIC
   223 |DFrETr01| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of DIC (Explicit part)
   224 |DFxETr01| 15 |   225 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of DIC
   225 |DFyETr01| 15 |   224 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of DIC
   226 |DFrITr01| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of DIC (Implicit part)
   227 |TRAC02  | 15 |       |SMR     MR|mol/m^3         |Alkalinity (Alk) [mol eq/m^3] concentration
   228 |UTRAC02 | 15 |   229 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of Alk
   229 |VTRAC02 | 15 |   228 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of Alk
   230 |WTRAC02 | 15 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of Alk
   231 |ForcTr02| 15 |       |SMR     MR|mol/m^3/s       |Alk forcing tendency
   232 |AB_gTr02| 15 |       |SMR     MR|mol/m^3/s       |Alk tendency from Adams-Bashforth
   233 |Tp_gTr02| 15 |       |SMR     MR|mol/m^3/s       |Alk total transport tendency (before gchem_forcing_sep)
   234 |ADVrTr02| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of Alk
   235 |ADVxTr02| 15 |   236 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of Alk
   236 |ADVyTr02| 15 |   235 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of Alk
   237 |DFrETr02| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of Alk (Explicit part)
   238 |DFxETr02| 15 |   239 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of Alk
   239 |DFyETr02| 15 |   238 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of Alk
   240 |DFrITr02| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of Alk (Implicit part)
   241 |TRAC03  | 15 |       |SMR     MR|mol/m^3         |Phosphate (PO4) [mol P/m^3] concentration
   242 |UTRAC03 | 15 |   243 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of PO4
   243 |VTRAC03 | 15 |   242 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of PO4
   244 |WTRAC03 | 15 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of PO4
   245 |ForcTr03| 15 |       |SMR     MR|mol/m^3/s       |PO4 forcing tendency
   246 |AB_gTr03| 15 |       |SMR     MR|mol/m^3/s       |PO4 tendency from Adams-Bashforth
   247 |Tp_gTr03| 15 |       |SMR     MR|mol/m^3/s       |PO4 total transport tendency (before gchem_forcing_sep)
   248 |ADVrTr03| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of PO4
   249 |ADVxTr03| 15 |   250 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of PO4
   250 |ADVyTr03| 15 |   249 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of PO4
   251 |DFrETr03| 15 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of PO4 (Explicit part)
